Judul,Harga,Lokasi,Kamar,Wc,Parkir,Luas_tanah,Luas_bangunan,Deskripsi,Keywords
Di Jual Harga Rendah Rumah Luas Di Daerah Duwet,Rp 800 Juta,"Wonosari, Gunung Kidul",3,3,1,408 m²,205 m²,"DI JUAL HARGA RENDAH RUMAH LUAS DI DAERAH DUWET, WONOSARI, GUNUNG KIDUL ""Rumah luas daerah Duwet,...","Rumah
Full Furnished
Siap Huni
Dekat Sekolah"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH PATUK Lokasi : Patuk, Gunung Kidul, Daerah Istimewa Yogyakarta Rumah murah di jual cepat BU...","Rumah
Full Furnished"
Rumah Baru di Playen Gunung Kidul Dekat RSUD Wonosari,Rp 400 Juta,"Playen, Gunung Kidul",2,1,1,80 m²,50 m²,,"Rumah
Dekat Fasilitas Kesehatan"
Rumah Cantik Full Furnished Hanya 300JTAN Di Patuk,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,RUMAH CANTIK FULL FURNISHED HANYA 300JTAN DI PATUK Rumah cantik full furnished hanya 300jtan di Patuk....,"Rumah
Full Furnished
Dekat Sekolah"
Rumah Scandinavian 200Jt an di Karangmojo Gunungkidul Dekat Uny,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Tersedia Kavling Murah Unit Terbatas: 100 m2 101 m2 102 m2 105...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,Hunian Nyaman dan Modern Dekat Wisata Gunung Kidul. Investasi Cerdas dengan Fasilitas Lengkap dan...,"Rumah
Full Furnished
Siap Huni
Dekat Tempat Wisata"
Rumah Murah Di Jogja Hanya 8 Menit Dari Heha Sky View,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"RUMAH MURAH DI JOGJA HANYA 8 MENIT DARI HEHA SKY VIEW KOPILIMO PAVILLION Lokasi : Patuk, Gunung Kidul,...","Rumah
Full Furnished
Dekat Tempat Wisata"
Rumah Baru 200jtan di Karangmojo Wonosari Dekat Wonosari Kota Kpr,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"Rumah murah di jual cepat BU dalam cluster villa fasum lengkap dekat banyak tempat wisata, cocok...","Rumah
Full Furnished"
Dijual Villa Murah Dekat Heha Sky View Wonosari,Rp 425 Juta,"Wonosari, Gunung Kidul",2,1,2,100 m²,36 m²,"DIJUAL VILLA MURAH DEKAT HEHA SKY VIEW WONOSARI Lokasi: Wonosari, Semoyo,Patuk,Gunung Kidul,Yogyakarta...","Rumah
Full Furnished
Dekat Tempat Wisata"
Hanya 200 Jtan Rumah Scandinavian di Karangmojo Gunungkidul Jogja,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Scandinavian Murah di Karangmojo Dekat Alun alun Wonosari,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"KPR Angsuran 1 Jt an Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Tanah Dan Bangunan Samping Pom Bensin Di Semin Gunung Kidul,"Rp 3,75 Miliar","Semin, Gunung Kidul",4,3,2,477 m²,300 m²,"Tanah dan Bangunan, sangat bagus, cocok utk buka usaha, bisa minimarket, klinik, showroom, restoran...","Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Fasilitas Kesehatan"
Rumah Cantik Dekat Destinasi Gunung Kidul,Rp 386 Juta,"Wonosari, Gunung Kidul",2,1,2,70 m²,41 m²,Rumah Murah dekat dengan destinasi wisata Gunungkidul Yogyakarta Selling point 1 menit dari hotel...,"Rumah
Dekat Tempat Wisata"
Rumah  Milenial minimalis Di Gunung Kidul,Rp 386 Juta,"Gendang Sari, Gunung Kidul",1,2,1,73 m²,41 m²,Rumah Murah dekat dengan destinasi wisata gunung kidul yoyakarta Spesifikasi 2 kamar tidur 1 kamar...,"Rumah
Dekat Tempat Wisata"
Perumahan Murah Mewah di Wonosari Dp 0,Rp 220 Juta,"Wonosari, Gunung Kidul",2,1,1,60 m²,39 m²,PERUMAHAN MEWAH DI KEPEK DP 0% Pengen punya rumah di Jogja tapi harga rumah udah mahal? Telah hadir...,"Rumah
Subsidi
DP 0%
Dekat Sekolah"
Beli Paviliun Gratis Fully Furnished Di Patuk,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"KOPILIMO PAVILLION Lokasi : Patuk, Kabupaten Gunung Kidul, Yogyakarta Paviliun cantik sudah lengkap...","Rumah
Full Furnished
Dekat Tempat Wisata"
Dijual Rumah Di Patuk Jogja,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,DIJUAL RUMAH DI PATUK JOGJA Rumah murah di jual cepat BU dalam cluster villa fasum lengkap dekat...,Rumah
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"PAVILIUN FULLY FURNISHED DI PATUK DEKAT WISATA GUNUNG KIDUL Lokasi : Patuk, Gunung Kidul, Yogyakarta...","Rumah
Full Furnished
Siap Huni
Dekat Tempat Wisata"
Rumah 200jt An di Wonosari Dekat Kampus Uny Cab Gunung Kidul Kpr,Rp 280 Juta,"Semanu, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Hanya 200m Ke Alunalun Pemda Dikota Wonosari GK,Rp 1 Miliar,"Wonosari, Gunung Kidul",4,2,1,128 m²,180 m²,"Rumah 2 Lantai, lokasi strategis dengan akses: 200m dari Kantor Pemda Gunung Kidul 50m ke jalan utama...","Rumah
Dekat Fasilitas Kesehatan"
Rumah Hanya 200m Ke Alunalun Pemda Dikota Wonosari GK,Rp 1 Miliar,"Wonosari, Gunung Kidul",4,2,1,128 m²,180 m²,"Rumah 2 Lantai, lokasi strategis dengan akses: 200m dari Kantor Pemda Gunung Kidul 50m ke jalan utama...","Rumah
Dekat Fasilitas Kesehatan"
Rumah Scandinavia Strategis Dekat Kota Wonosari di Karangmojo SHM,Rp 285 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
"Rumah Murah di Wonosari Kota Karangmojo, Hanya 200 Jutaan",Rp 283 Juta,"Karangmojo, Gunung Kidul",2,1,1,103 m²,40 m²,Rumah Murah Scandinavian di Karangmojo Dkat Wisata Goa Pindul SHM Deskripsi Promo Launching Perdana...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Sertifikat Hak Milik Bonus Kitchen Set Wonosari Yogyakarta,Rp 391 Juta,"Wonosari, Gunung Kidul",2,1,1,141 m²,40 m²,Dijual Kavling Siap Bangun MILIK KAMI SENDIRI GARANSI 6 BULAN Kami memberikan 2 opsi fleksibel: 1....,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Mewah Murah di Jalan Jogja Wonosari,Rp 243 Juta,"Patuk, Gunung Kidul",2,1,1,60 m²,39 m²,"RUMAH MURAH DI PINGGIR JALAN JOGJA - WONOSARI Rumah Murah, Bangunan berkualitas, kami sediakan Perumahan...","Rumah
DP 0%"
Perumahan Mewah di Pusat Kota Siyono Regency,Rp 250 Juta,"Wonosari, Gunung Kidul",2,1,1,60 m²,39 m²,Perumahan murah berlokasi strategis Siyono Regency. Type 39 dengan desain bangunan yang modern dan...,Rumah
RUMAH SIAP BANGUN LOKASI STRATEGIS DEKAT HEHA SKY VIEW,Rp 788 Juta,"Patuk, Gunung Kidul",3,3,1,190 m²,80 m²,Rumah Dijual Gunung Kidul Rumah Siap Bangun Lokasi Strategis Patuk Dekat Heha Sky View Cocok Buat...,Rumah
Jual Rumah di Patuk Jalan Wonosari Bisa Untuk Usaha,"Rp 3,5 Miliar","Patuk, Gunung Kidul",5,5,6,500 m²,685 m²,Jual Rumah ( View kota Jogja ) Bangunan 3 lantai Tepi jalan Nasional Jalan Jogja - Wonosari Luas...,"Rumah
Dekat Tempat Wisata"
RUMAH SUBSIDI WONOSARI GUNUNGKIDUL,Rp 167 Juta,"Wonosari, Gunung Kidul",2,1,1,60 m²,30 m²,"*⭐KARTIKA KUSUMA RESIDENCE⭐* JOGJAKARTA yang didukung oleh 5 Perguruan Tinggi Negeri (UGM, UNY, UIN,...","Rumah
Subsidi
Dekat Sekolah
Dekat Fasilitas Kesehatan"
"Villa Siap Huni, Full Furnish Di Patuk, Gunung Kidul",Rp 475 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"VILLA SIAP HUNI, FULL FURNISH DI PATUK, GUNUNG KIDUL Harga 475 JT Hubungi: YENY WASTU Villa minimais...",Rumah
TANAH BONUS RUMAH DEKAT KAMPUS UNY YANG BARU,"Rp 1,6 Miliar","Wonosari, Gunung Kidul",5,2,2,1050 m²,400 m²,Rumah Dijual Gunung Kidul TANAH + RUMAH DEKAT KAMPUS UNY SEMANU GUNUNGKIDUL LINGKUNGAN COCOK UNTUK...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Paviliun Fully Furnished Di Daerah Wisata Gunung Kidul,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"PAVILIUN FULLY FURNISHED DI DAERAH WISATA GUNUNG KIDUL Lokasi : Patuk, Gunung Kidul, Yogyakarta Hubungi...","Rumah
Full Furnished
Bebas Banjir"
Paviliun Cantik Strategis Dekat Heha Sky View Di Gunung Kidul,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,PAVILIUN CANTIK STRATEGIS DEKAT HEHA SKY VIEW DI GUNUNG KIDUL Paviliun cantik sudah lengkap furnish...,"Rumah
Full Furnished"
Rumah Siap Huni Di Jogja Dekat Dengan Heha Sky Viev,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH SIAP HUNI DI JOGJA DEKAT DENGAN HEHA SKY VIEV RUMAH PATUK Lokasi : Patuk, Gunung Kidul, Yogyakarta...","Rumah
Full Furnished
Siap Huni"
"Rumah Murah Siap Huni Dalam Cluster Di Patuk, Gunung Kidul",Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH MURAH SIAP HUNI DALAM CLUSTER DI PATUK, GUNUNG KIDUL Rumah murah dalam cluster villa di Patuk,...","Rumah
Full Furnished
Siap Huni"
Dijual Penginapan Sederhana di Pantai Gunungkidul Yogyakarta,Rp 325 Juta,"Tepus, Gunung Kidul",2,1,1,260 m²,60 m²,"Dijual Penginapan Sederhana di Pantai Gunungkidul. Speck : Kamar tidur 2 Kamar Mandi 1 Dapur, Gudang,...",Rumah
Rumah Murah Scandinavia di Karangmojo Wonosari Bisa KPR SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
rumah murah Yogaykarta,Rp 880 Juta,"Playen, Gunung Kidul",2,2,1,150 m²,113 m²,Selamat datang di rumah menawan yang terletak di lingkungan damai Perum Gading Regency di Kartasura...,"Rumah
Dekat Sekolah"
Rumah Dan Ruko Di Pasar Playen . Ar,"Rp 3,5 Miliar","Wonosari, Gunung Kidul",8,3,2,502 m²,90 m²,Spek : Bangunan 1½ Lantai Lebar Depan 12m Panjang 42m Luas Tanah 502m² Luas Bangunan 90m² Area parkir...,Rumah
Rumah Murah Scandinavian di Karangmojo Dkat Wisata Goa Pindul SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Tersedia Kavling Murah Unit Terbatas: 100 m2 = 280jt 101 m2 =...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah SHM Ada Kolam Renangnya di Wonosari raya dijamin pada betah karena smua ada disini dekat banyak wisata alam dan wisata kuliner,Rp 579 Juta,"Playen, Gunung Kidul",2,1,1,182 m²,100 m²,SPESIFIKASI - Luas Tanah 182 M² - Luas Bangunan 100 M² - 2 kamar tidur - 1 kamar mandi dalam - 1...,"Rumah
Dekat Tempat Wisata"
Perumahan Subsidi 3 Juta All In di Kota Wonosari Gunungkidul,Rp 166 Juta,"Wonosari, Gunung Kidul",2,1,1,63 m²,36 m²,RUMAH SUBSIDI DI WONOSARI 3 JUTA ALL IN Pengen punya rumah di Jogja tapi harga rumah udah mahal?...,"Rumah
Subsidi
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Murah di Pinggir Jalan Jogja Wonosari,Rp 195 Juta,"Patuk, Gunung Kidul",2,1,1,60 m²,39 m²,"RUMAH MURAH DI PINGGIR JALAN JOGJA - WONOSARI Rumah Murah, Bangunan berkualitas, kami sediakan Perumahan...","Rumah
DP 0%"
Cluster Baru Unfurnished Dekat Kantor Dishub Dan Sekolah Piyaman,Rp 310 Juta,"Wonosari, Gunung Kidul",2,1,1,72 m²,45 m²,"*CLUSTER PIYAMAN, KOTA WONOSARI - GUNUNG KIDUL* Siap untuk di balik nama atas nama sendiri, untuk...",Rumah
Cluster Baru Kawasan Dishub Wonosari Dan Sekolah Lingkar Utara,Rp 310 Juta,"Wonosari, Gunung Kidul",2,1,1,72 m²,45 m²,"*CLUSTER PIYAMAN, KOTA WONOSARI - GUNUNG KIDUL* Siap untuk di balik nama atas nama sendiri, untuk...",Rumah
Cluster Siap Bangun Area Sekolah Dan Perkantoran Piyaman,Rp 305 Juta,"Wonosari, Gunung Kidul",2,1,1,66 m²,45 m²,"*CLUSTER PIYAMAN, KOTA WONOSARI - GUNUNG KIDUL* Siap untuk di balik nama atas nama sendiri, untuk...",Rumah
Rumah 1 Lantai Siap Bangun Dekat Dishub Wonosari Area Piyaman,Rp 315 Juta,"Wonosari, Gunung Kidul",2,1,1,45 m²,75 m²,"*CLUSTER PIYAMAN, KOTA WONOSARI - GUNUNG KIDUL* Siap untuk di balik nama atas nama sendiri, untuk...",Rumah
Kavling Siap Bangun SHM Dekat Dishub Gunungkidul Area Piyaman,Rp 312 Juta,"Wonosari, Gunung Kidul",2,1,1,45 m²,72 m²,"*CLUSTER PIYAMAN, KOTA WONOSARI - GUNUNG KIDUL* Siap untuk di balik nama atas nama sendiri, untuk...",Rumah
Rumah Baru Harga Terjangkau Siap Kpr 500 Meter Ke Jalan Raya Wonosari,Rp 275 Juta,"Wonosari, Gunung Kidul",2,1,1,92 m²,45 m²,RUMAH BARU HARGA TERJANGKAU SIAP KPR 500 METER KE JALAN RAYA WONOSARI Rumah idaman harga cocok di...,Rumah
Rumah Scandinavian Hanya 200Jutaan di Karangmojo Gunungkidul SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Rumah Scandinavian Hanya 200Jutaan di Karangmojo Wonosari Gunungkidul Bisa KPR SHM Promo Launching...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Murah Di Jogja Hanya 9 Menit Dari Bukit Bintang,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"RUMAH MURAH DI JOGJA HANYA 9 MENIT DARI BUKIT BINTANG KOPILIMO PAVILLION Lokasi : Patuk, Gunung Kidul,...","Rumah
Full Furnished
Dekat Tempat Wisata"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH MURAH FULL FURNISH DI PATUK DEKAT HEHA SKY VIEW RUMAH PATUK Lokasi : Patuk, Kabupaten Gunung...","Rumah
Full Furnished"
Rumah Murah Dekat Heha Sky View Patuk Gunungkidul Yogya,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,36 m²,70 m²,RUMAH MURAH DEKAT HEHA SKY VIEW PATUK GUNUNGKIDUL YOGYA Rumah cocok untuk dijadikan rumah singgah...,Rumah
Rumah Scandinavian di Wonosari Dekat Kampus Uny Cab Gunung Kidul,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! KPR Angsuran mulai 1 Jt an Rumah Scandinavian di Karangmojo Wonosari...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Villa Siap Huni Dekat Heha Sky View Di Gunung Kidul,Rp 475 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"VILLA SIAP HUNI DEKAT HEHA SKY VIEW DI GUNUNG KIDUL Lokasi : Patuk, Gunung Kidul Villa murah siap...","Rumah
Full Furnished
Siap Huni
Dekat Tempat Wisata"
Villa Siap Huni Dekat Heha Sky View Di Gunung Kidul,Rp 475 Juta,"Patuk, Gunung Kidul",2,1,2,100 m²,36 m²,"VILLA SIAP HUNI DEKAT HEHA SKY VIEW DI GUNUNG KIDUL Lokasi : Patuk, Gunung Kidul Villa murah siap...","Rumah
Full Furnished
Siap Huni
Dekat Tempat Wisata"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH MURAH FULL FURNISH DI PATUK DEKAT HEHA SKY VIEW Lokasi : Patuk, Gunung Kidul, Yogyakarta Hubungi...","Rumah
Full Furnished
Bebas Banjir"
Rumah Baru Murah 200 Jutaan di Karangmojo Dekat Wonosari Kota SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,80 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
RUMAH MURAH DP 0% DI PATUK DEKAT HEHA  SKY VIEW JOGJA,Rp 402 Juta,"Patuk, Gunung Kidul",2,1,1,90 m²,43 m²,"RUMAH MURAH DP 0% DI PATUK DEKAT HEHA SKY VIEW JOGJA Lokasi : Waduk, Salam, Kec. Patuk, Kabupaten...","Rumah
DP 0%
Dekat Tempat Wisata"
Rumah Scandinavian Murah diKarangmojo Dekat Wonosari Kota SHM KPR,Rp 285 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Tanah Dan Bangunan Samping Pom Bensin Di Semin Gunung Kidul,"Rp 3,75 Miliar","Semin, Gunung Kidul",4,3,2,477 m²,300 m²,"Tanah dan Bangunan, sangat bagus, cocok utk buka usaha, bisa minimarket, klinik, showroom, restoran...","Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Fasilitas Kesehatan"
"Rumah Murah di Wonosari Kota, Desain Modern Dekat Rs Panti Rahayu",Rp 281 Juta,"Karangmojo, Gunung Kidul",2,1,1,101 m²,40 m²,Rumah Scandinavian di Karangmojo Wonosari Strategis Bisa Kpr SHM Deskripsi Tersedia LT: 100 m2 =...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
"Rumah Dijual Jln Jogja Wonosari Playen Jogja,LOKASI STRATEGIS!!",Rp 670 Juta,"Playen, Gunung Kidul",2,1,1,182 m²,90 m²,Dijual Rumah Modern dengan privat Pool di dalam perumahan Puri Langgeng Gunungkidul. Strategis Hanya...,Rumah
Villa dan Resto Eksotis View Pantai di Gunung Kidul Yoyakarta,Rp 20 Miliar,"Tanjungsari, Gunung Kidul",7,8,16,10744 m²,2000 m²,Pada dekade terakhir ini nama Gunung Kidul begitu populer di kalangan wisatawan domestik maupun manca...,Rumah
Rumah Bagus Di Semanu Gunungkidul Yogyakarta,Rp 922 Juta,"Semanu, Gunung Kidul",3,2,1,193 m²,1065 m²,RUMAH BAGUS DI SEMANU GUNUNGKIDUL YOGYAKARTA Aset Lelang powered by BRI...,Rumah
Villa Baru Indent/ Pesan Bangun Full Furnished,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,Kode AA 011451 Tipe Listing : JUAL Cepat Tipe Properti : Villa baru Full Furnished (Pesan bangun)...,"Rumah
Full Furnished
Dekat Tempat Wisata"
Villa Dijual Murah Di Wonosari Gunungkidul.GREES MURAH TENAN !!,"Rp 1,5 Miliar","Wonosari, Gunung Kidul",3,2,5,1000 m²,120 m²,"Rumah Villa Dijual Di Wonosari Dekat Area Wisata Air di Wonosari Gunungkidul Rumah villa Satu lantai,Dengan...","Rumah
Dekat Fasilitas Kesehatan"
Villa di Dijual Di Wonosari Gunungkidul.GREES MURAH TENAN !!,"Rp 1,5 Miliar","Wonosari, Gunung Kidul",3,2,5,1000 m²,120 m²,"Rumah Villa Dijual Di Wonosari Dekat Area Wisata Air di Wonosari Gunungkidul Rumah villa Satu lantai,Dengan...","Rumah
Dekat Fasilitas Kesehatan"
Rumah Nyaman di Patuk Yogyakarta,"Rp 1,2 Miliar","Patuk, Gunung Kidul",6,5,1,581 m²,350 m²,"Dijual rumah di Dusun Gumawang, Patuk, lokasi sangat nyaman, dekat dengan supermarket Sambipitu,...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Murah Siap Huni Dalam Cluster Di Patuk,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,RUMAH MURAH SIAP HUNI DALAM CLUSTER DI PATUK Rumah murah di jual cepat BU dalam cluster villa fasum...,"Rumah
Siap Huni"
"RESTAURANT AYAM TALIWANG, DEKAT WISATA GOA PINDUL",Rp 5 Miliar,"Karangmojo, Gunung Kidul",4,2,3,4 m²,300 m²,Rumah Dijual Gunung Kidul DIJUAL : RESTORAN AYAM TALIWANG ( TANAH DAN BANGUNANNYA SEMUA ) LOKASI...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Tempat Wisata"
Rumah Baru Scandinavian Hanya 200jt an di Karangmojo Gunungkidul,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
"PURI LANGGENG JOGJA, HUNIAN ASRI DI KOTA WISATA GUNUNG KIDUL",Rp 380 Juta,"Playen, Gunung Kidul",2,1,1,72 m²,41 m²,Rumah Dijual Gunung Kidul MENGAPA PILIH PURI LANGGENG JOGJKARTA? \ud83d\uddff 2 MENIT ALUN2 WONOSARI...,"Rumah
Dekat Sekolah
Dekat Tempat Wisata
Dekat Tempat Ibadah"
"Rumah Murah Aset BRI, Wonosari, Gunungkidul","Rp 1,4 Miliar","Wonosari, Gunung Kidul",2,1,1,380 m²,180 m²,aset properti Non Lelang powered by BRI...,"Rumah
ASET BANK"
"Rumah Murah Aset BRI, Wonosari, Gunung Kidul","Rp 1,76 Miliar","Wonosari, Gunung Kidul",5,2,2,493 m²,450 m²,aset properti Non Lelang powered by BRI...,"Rumah
ASET BANK"
Dijual Resort Bagus 2 Lantai di Pantai Gunungkidul Yogyakarta,Rp 700 Juta,"Tepus, Gunung Kidul",,,1,200 m²,300 m²,"Dijual Resort 2 lantai di Pantai Gunungkidul Yogyakarta Kamar tidur 5 Kamar Mandi 4 Dapur, Balkon,...",Rumah
Rumah Scandinavian di Karangmojo Wonosari Gunungkidul Hanya 200jt,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Villa Exclusive Di Pantai Jogja,Rp 895 Juta,"Wonosari, Gunung Kidul",2,2,1,100 m²,82 m²,Vila view langsung hadap pantai dan laut dengan keamanan 24 jam dan fasilitas lengkap...,Rumah
Dijual Resort Bagus 2 Lantai di Pantai Gunungkidul Yogyakarta,Rp 700 Juta,"Tepus, Gunung Kidul",4,4,1,200 m²,300 m²,"Dijual Resort 2 lantai di Pantai Gunungkidul Yogyakarta Kamar tidur 4 Kamar Mandi 4 Dapur, Balkon,...",Rumah
Rumah Strategis Di Pusat Kota Wonosari Gunung Kidul,Rp 700 Juta,"Wonosari, Gunung Kidul",3,3,1,217 m²,80 m²,"Dijual rumah dengan harga terjangkau memiliki luasan 217 meter di Madusari Kota Wonosari Gunung Kidul,...","Rumah
Dekat Tempat Wisata"
Cluster Exclusive Di Pusat Kota Bandung Di Alun-Alun Antapani,"Rp 1,5 Miliar","Purwosari, Gunung Kidul",3,2,2,84 m²,90 m²,100 m gasmin (gasibu mini) 100 m puskesmas 50 m dokter 100 m pusat kuliner 24 jam 50 m indomart 70...,"Rumah
Bebas Banjir
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Scandinavian Murah diKarangmojo Dekat Wonosari Kota SHM KPR,Rp 245 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Cantik Scandinavian di Karangmojo Gunungkidul Bisa KPR SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Tinggal 2 Unit Saja Rumah Cantik Siap Huni 1 Menit Dari Rsud Wonosari,Rp 225 Juta,"Wonosari, Gunung Kidul",2,1,1,65 m²,36 m²,"Rumah siap huni harga paling murah desain modern dalam cluster dengan akses lebar , mobil bisa papasan....","Rumah
Siap Huni
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"Rumah murah di jual cepat BU dalam cluster villa fasum lengkap dekat banyak tempat wisata, cocok...","Rumah
Full Furnished"
